AZ	forty-niner-country-club	104
AZ	gold-canyon-golf-resort	81
AZ	golden-hills-golf-club	55
AZ	golf-club-at-eagle-mountain	14
AZ	golf-club-of-estrella	122
AZ	grand-canyon-university-golf-course	111
AZ	granite-falls-north	79
AZ	granite-falls-south	58
AZ	grass-clippings-at-rolling-hills	76
AZ	grayhawk-golf-club	56
AZ	greenfield-lakes-golf-course	223
AZ	haven-golf-course	83
AZ	hillcrest-golf-club	139
AZ	kokopelli-golf-club	71
AZ	lake-havasu-golf-club	193
AZ	las-barrancas-golf-course	221
AZ	las-sendas-golf-club	76
AZ	laughlin-ranch-golf-club	120
AZ	legend-trail-golf-club	131
AZ	lone-tree-golf-club	94
AZ	longbow-golf-club	98
AZ	los-lagos-golf-club	3
AZ	mcdowell-mountain-golf-club	53
AZ	mission-royale-golf-club	77
AZ	mountain-view-golf-course	13
AZ	oakcreek-country-club	133
AZ	ocotillo-golf-club	47
AZ	orange-tree-golf-resort	131
AZ	painted-mountain-golf-resort	137
AZ	palm-creek-golf-rv-resort	38
AZ	palo-verde-golf-course	35
AZ	papago-golf-club	92
AZ	payson-golf-course	110
AZ	peoria-pines-golf-course	185
AZ	power-ranch-golf-club	190
AZ	prescott-golf-club	40
AZ	pueblo-el-mirage-golf-club	72
AZ	quail-run-golf-course	72
AZ	quarry-pines-golf-club	76
AZ	queen-valley-golf-course	30
AZ	quintero-golf-club	12
AZ	rancho-manana-golf-club	145
AZ	raven-golf-club-phoenix	56
AZ	riverview-golf-course	101
AZ	robson-ranch-golf-club	26
AZ	rolling-hills-golf-course	63
AZ	royal-palms-golf-course	211
AZ	san-ignacio-golf-club	94
AZ	san-marcos-golf-resort	92
AZ	scottsdale-silverado-golf-club	105
AZ	sedona-golf-resort	139
AZ	sewailo-golf-club	119
AZ	sterling-grove-golf-country-club	65
AZ	stoneridge-golf-course	163
AZ	stonecreek-golf-club	69
AZ	sun-city-country-club	39
AZ	sun-city-lakes-east-golf-course	123
AZ	sun-city-lakes-west-golf-course	108
AZ	sun-city-south-golf-course	87
AZ	sun-village-golf-course	100
AZ	sunbird-golf-club	101
AZ	sundance-golf-club	180
AZ	sunland-springs-golf-club	94
AZ	sunland-village-east-golf-club	30
AZ	sunland-village-golf-club	49
AZ	superstition-springs-golf-club	60
AZ	the-500-club	161
AZ	the-duke-at-rancho-el-dorado	103
AZ	the-golf-club-at-dove-mountain	54
AZ	the-highlands-at-dove-mountain	5
AZ	the-lakes-at-ahwatukee	176
AZ	the-legacy-golf-club	108
AZ	the-links-at-coyote-wash	83
AZ	the-phoenician-golf-club	41
AZ	the-preserve-golf-club-at-saddlebrooke	48
AZ	the-refuge-golf-club	85
AZ	the-short-course-at-mountain-shadows	86
AZ	toka-sticks-golf-club	88
AZ	torres-blancas-golf-club	37
AZ	trilogy-golf-club-at-vistancia	39
AZ	troon-north-golf-club	48
AZ	tubac-golf-resort-spa	99
AZ	union-hills-golf-club	192
AZ	valle-vista-golf-club	77
AZ	verrado-golf-club-founders-course	64
AZ	verrado-golf-club-victory-course	73
AZ	viewpoint-golf-resort	73
AZ	western-skies-golf-club	96
AZ	wickenburg-golf-club	63
AZ	wigwam-golf-club-gold-course	286
AZ	wigwam-golf-club-heritage-course	286
AZ	wigwam-golf-club-patriot-course	286
AZ	willowbrook-golf-course	120
AZ	willowcreek-golf-course	80
